name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
M. Caicedo,18,CAM,CM,177.8,72.45,Right,15,250000.0,500,706000.0,34,54,40,62,30.0,54,30.0,39,60,63,61,61,63.0,51,65.0,45,59.0,66,58,57,58,60.0,54.0,54.0,39,47.0,45,57,52.0,15,6,13,9,13,1527,334,3,2,Medium,Medium,1,61,51,52,58,52,60,22,53,53,53,55,56,56,56,55,58,58,58,56,58,58,58,56,55,58,58,58,55,54,54,54,54,54,15,58
B. Bahn,27,RM,CAM CM,180.34,68.4,Right,0,675000.0,2000,979000.0,70,59,39,66,62.0,65,76.0,72,59,70,79,79,82.0,67,80.0,71,60.0,90,56,65,51,31.0,58.0,66.0,74,60.0,40,30,36.0,13,14,16,12,13,1821,377,3,3,High,Medium,1,79,63,67,69,35,64,5,62,62,62,68,66,66,66,68,66,66,66,68,63,63,63,68,58,53,53,53,58,55,44,44,44,55,19,66
Unai López,24,CAM,CM CDM,170.18,69.3,Right,4,11500000.0,21000,25000000.0,73,74,51,82,55.0,76,75.0,79,74,82,77,71,83.0,77,88.0,73,77.0,77,62,75,72,71.0,68.0,77.0,46,76.0,67,72,59.0,9,13,12,13,15,2075,438,3,3,High,Medium,1,74,71,78,79,67,69,65,71,71,71,76,75,75,75,76,77,77,77,76,77,77,77,76,73,74,74,74,73,71,68,68,68,71,20,77
S. Salger,30,CB,CB CDM LB,182.88,75.60000000000001,Left,0,625000.0,1000,906000.0,63,32,64,65,34.0,58,50.0,42,66,61,68,69,67.0,64,65.0,54,75.0,64,74,38,68,68.0,49.0,49.0,39,67.0,66,70,63.0,14,14,16,13,10,1712,365,3,2,Medium,Medium,1,69,39,60,60,67,70,3,54,54,54,57,55,55,55,57,56,56,56,59,60,60,60,59,65,65,65,65,65,65,67,67,67,65,19,67
D. Furtado,23,ST,LW,180.34,66.60000000000001,Right,9,700000.0,3000,1600000.0,60,67,47,54,57.0,68,53.0,45,41,68,79,78,70.0,56,70.0,68,41.0,54,61,43,32,25.0,64.0,55.0,59,53.0,23,28,29.0,9,5,6,8,10,1533,340,3,3,Medium,Medium,1,78,61,53,68,28,52,3,63,63,63,64,64,64,64,64,61,61,61,63,53,53,53,63,49,42,42,42,49,46,38,38,38,46,13,64
E. Collin,37,CAM,,177.8,74.25,Right,1,0.0,0,0.0,70,80,54,85,,77,,79,82,81,71,75,,65,,79,,62,61,78,38,,,,79,,42,30,,9,3,82,8,1,1309,404,4,1,,,4,73,79,80,77,38,57,3,78,78,78,76,78,78,78,76,79,79,79,76,73,73,73,76,60,65,65,65,60,57,50,50,50,57,11,79
F. Heerkens,30,LB,LB RB CB,185.42,73.35000000000001,Right,0,700000.0,4000,1100000.0,63,32,63,64,21.0,57,22.0,27,60,63,51,63,48.0,67,58.0,50,72.0,77,74,33,71,65.0,38.0,50.0,43,66.0,69,66,67.0,16,16,15,8,10,1599,349,3,2,Medium,High,1,58,36,56,58,67,74,3,51,51,51,54,52,52,52,54,54,54,54,57,59,59,59,57,65,66,66,66,65,66,67,67,67,66,19,68
A. Almendra,20,CM,CM CDM,175.26,77.4,Right,12,1300000.0,4000,2100000.0,47,58,45,73,50.0,65,66.0,58,71,72,64,65,69.0,62,68.0,59,46.0,67,64,56,48,59.0,59.0,67.0,52,62.0,56,68,64.0,14,10,13,6,9,1750,376,2,3,Medium,Medium,1,65,57,65,68,60,61,35,61,61,61,63,64,64,64,63,66,66,66,64,67,67,67,64,63,65,65,65,63,62,60,60,60,62,16,67
B. Chardonnet,25,CB,CB,180.34,73.35000000000001,Right,5,775000.0,5000,1600000.0,45,27,70,57,33.0,45,35.0,35,55,60,59,61,57.0,57,70.0,49,79.0,66,74,32,57,61.0,35.0,38.0,68,59.0,63,73,65.0,10,14,10,11,13,1584,332,3,2,Low,High,1,60,35,48,53,67,69,5,49,49,49,48,47,47,47,48,48,48,48,50,52,52,52,50,60,61,61,61,60,62,66,66,66,62,17,66
O. Djoco,22,GK,GK,187.96,89.10000000000001,Left,10,130000.0,750,254000.0,12,10,14,21,7.0,14,15.0,16,20,16,30,22,21.0,46,23.0,40,55.0,29,67,8,21,9.0,4.0,33.0,29,32.0,10,12,11.0,60,58,53,54,59,899,310,2,1,Medium,Medium,1,60,58,53,59,26,54,3,21,21,21,18,20,20,20,18,20,20,20,20,21,21,21,20,18,21,21,21,18,18,21,21,21,18,56,57
C. Bishop,23,ST,ST,182.88,71.55,Right,6,750000.0,2000,1500000.0,38,67,62,56,60.0,59,47.0,39,44,63,72,73,64.0,63,70.0,64,71.0,72,74,59,58,30.0,66.0,55.0,59,63.0,28,23,23.0,12,14,9,10,14,1618,347,3,2,High,Medium,1,73,64,49,61,30,70,9,65,65,65,61,63,63,63,61,61,61,61,60,55,55,55,60,47,46,46,46,47,45,44,44,44,45,18,65
T. Bifouma,28,RW,LM RM,180.34,79.2,Right,0,5500000.0,15000,8500000.0,67,72,58,67,62.0,77,50.0,45,56,75,93,93,92.0,72,73.0,81,91.0,67,71,64,64,34.0,71.0,65.0,56,62.0,24,23,19.0,14,12,12,10,9,1839,403,4,4,High,Low,1,93,71,63,77,29,70,12,73,73,73,75,74,74,74,75,72,72,72,73,64,64,64,73,55,51,51,51,55,52,46,46,46,52,18,74
E. Simonsen,19,RM,CM CAM RM,170.18,59.4,Right,17,80000.0,2000,150000.0,41,39,35,61,38.0,54,46.0,39,53,56,70,72,72.0,40,87.0,43,54.0,54,33,28,40,29.0,42.0,56.0,48,52.0,38,32,34.0,6,9,7,9,11,1376,294,3,2,Medium,Medium,1,71,38,53,57,34,41,3,46,46,46,52,50,50,50,52,53,53,53,53,50,50,50,53,46,44,44,44,46,44,38,38,38,44,12,51
M. Saunier,30,CB,CB,182.88,75.60000000000001,Right,0,725000.0,11000,1500000.0,38,16,62,67,47.0,50,24.0,22,68,65,32,41,56.0,66,61.0,68,78.0,63,73,46,70,73.0,18.0,45.0,55,61.0,62,70,72.0,8,12,11,13,14,1566,320,3,2,Medium,Medium,1,37,36,53,56,68,70,3,46,46,46,45,47,47,47,45,50,50,50,49,58,58,58,49,60,67,67,67,60,61,68,68,68,61,18,68
M. Culverwell,18,GK,GK,182.88,68.4,Right,20,50000.0,1000,138000.0,13,7,11,28,8.0,11,10.0,14,19,12,21,17,24.0,30,45.0,15,56.0,20,46,8,22,10.0,7.0,31.0,11,31.0,8,12,13.0,47,46,46,51,53,772,262,2,1,Medium,Medium,1,47,46,46,53,19,51,3,15,15,15,16,16,16,16,16,19,19,19,17,19,19,19,17,16,19,19,19,16,16,18,18,18,16,47,48
D. van der Sluys,23,LB,LB,170.18,67.5,Left,6,250000.0,2000,413000.0,57,35,55,55,27.0,59,37.0,41,50,56,68,57,74.0,50,77.0,28,60.0,62,55,30,58,57.0,47.0,45.0,47,46.0,60,62,65.0,10,15,15,8,8,1530,324,3,2,Medium,Medium,1,62,33,51,60,60,58,3,47,47,47,53,50,50,50,53,52,52,52,54,52,52,52,54,59,56,56,56,59,59,58,58,58,59,15,60
C. Kum,34,CB,CB LB RB,182.88,81.45,Right,0,275000.0,3000,399000.0,65,30,66,58,32.0,58,34.0,32,62,56,56,53,44.0,61,65.0,66,73.0,66,72,38,81,71.0,35.0,48.0,44,69.0,68,62,64.0,11,11,14,13,15,1624,345,5,2,Medium,Medium,1,54,40,56,57,66,72,5,51,51,51,51,51,51,51,51,51,51,51,55,56,56,56,55,63,64,64,64,63,63,67,67,67,63,18,67
C. Colkett,23,CM,CM CAM,175.26,73.35000000000001,Left,5,600000.0,1000,795000.0,68,47,49,67,37.0,61,70.0,66,70,63,64,47,75.0,58,81.0,65,66.0,72,57,53,45,54.0,54.0,69.0,58,64.0,53,61,62.0,8,7,8,14,10,1739,354,3,3,Medium,Medium,1,55,52,68,64,56,59,11,56,56,56,60,59,59,59,60,62,62,62,62,64,64,64,62,61,61,61,61,61,60,56,56,56,60,15,64
Eliseo Falcón,22,CB,CB RB,187.96,82.35000000000001,Right,10,550000.0,4000,1300000.0,33,22,59,57,29.0,44,30.0,32,48,54,46,54,33.0,52,53.0,41,69.0,51,84,29,61,60.0,35.0,34.0,46,55.0,57,65,63.0,9,9,10,13,13,1395,301,3,2,Medium,Medium,1,50,29,44,47,61,70,4,44,44,44,42,43,43,43,42,44,44,44,45,48,48,48,45,53,57,57,57,53,55,62,62,62,55,15,63
T. Partey,27,CM,CM,185.42,76.5,Right,1,35000000.0,81000,74400000.0,74,68,68,86,56.0,84,69.0,70,84,83,68,74,75.0,85,50.0,86,83.0,92,82,85,84,84.0,73.0,84.0,49,86.0,81,85,81.0,11,13,9,9,7,2192,474,3,3,Medium,High,2,71,74,81,81,82,85,553,77,77,77,79,79,79,79,79,81,81,81,80,84,84,84,80,82,84,84,84,82,81,82,82,82,81,18,84
L. Requena,31,GK,GK,185.42,79.2,Left,0,425000.0,900,574000.0,11,6,13,24,9.0,14,14.0,10,26,19,55,65,53.0,55,60.0,47,65.0,43,59,8,28,10.0,5.0,69.0,14,35.0,7,12,10.0,64,65,63,72,67,1142,392,3,1,Medium,Medium,1,64,65,63,67,61,72,3,25,25,25,27,28,28,28,27,30,30,30,29,29,29,29,29,24,25,25,25,24,24,22,22,22,24,65,66
B. Ruíz,31,CAM,LM CAM CM CF,187.96,77.4,Left,0,7000000.0,20000,14000000.0,78,64,74,77,78.0,85,81.0,74,73,86,63,66,72.0,70,71.0,76,56.0,51,67,75,33,49.0,74.0,78.0,75,80.0,36,38,48.0,9,7,12,7,6,1909,395,2,4,Medium,Medium,3,65,70,77,83,44,56,9,73,73,73,76,76,76,76,76,77,77,77,75,72,72,72,75,61,59,59,59,61,59,53,53,53,59,14,76
B. Schenkeveld,28,CB,CB,185.42,82.35000000000001,Right,1,2300000.0,500,5200000.0,54,34,62,65,24.0,62,53.0,33,66,66,75,79,64.0,67,63.0,48,65.0,72,80,35,75,69.0,63.0,56.0,56,66.0,69,75,71.0,8,11,15,16,9,1760,385,2,2,Medium,Medium,1,77,39,59,64,70,76,7,57,57,57,60,60,60,60,60,61,61,61,63,63,63,63,63,68,69,69,69,68,69,71,71,71,69,17,71
S. Dest,19,RM,RB,175.26,61.65,Right,11,10000000.0,7000,16000000.0,72,56,57,76,44.0,80,72.0,38,65,77,88,86,87.0,74,78.0,65,56.0,78,56,62,68,66.0,72.0,72.0,39,70.0,67,70,68.0,11,10,10,15,15,1950,426,4,4,High,Low,1,87,58,71,79,67,64,2200,68,68,68,75,73,73,73,75,74,74,74,75,72,72,72,75,74,70,70,70,74,73,67,67,67,73,19,75
A. Kadlec,24,RB,RB,175.26,67.5,Right,6,550000.0,2000,853000.0,57,31,50,59,31.0,55,39.0,29,54,57,74,72,73.0,60,74.0,57,70.0,76,64,23,55,59.0,52.0,43.0,41,48.0,59,62,63.0,11,8,12,6,14,1590,345,3,2,Medium,Medium,1,73,36,52,59,59,66,4,51,51,51,54,53,53,53,54,53,53,53,57,55,55,55,57,62,59,59,59,62,62,60,60,60,62,15,64
R. Souici,22,CAM,CM,182.88,70.65,Right,11,170000.0,4000,374000.0,49,40,65,60,40.0,61,39.0,39,57,62,64,64,58.0,51,66.0,60,59.0,64,60,51,68,48.0,58.0,54.0,52,51.0,50,57,58.0,5,13,6,12,5,1595,344,4,2,Medium,Medium,1,64,48,54,61,54,63,5,56,56,56,56,57,57,57,56,57,57,57,57,57,57,57,57,56,57,57,57,56,57,57,57,57,57,13,57
L. González,34,CM,CM CAM,185.42,74.25,Right,0,3300000.0,70000,0.0,76,68,72,81,86.0,71,84.0,75,76,81,63,67,65.0,67,65.0,74,71.0,54,68,78,73,69.0,75.0,86.0,82,,57,68,51.0,8,5,15,7,15,2053,421,4,3,Medium,Medium,3,65,73,80,73,64,66,5,72,72,72,74,74,74,74,74,76,76,76,73,76,76,76,73,67,70,70,70,67,66,67,67,67,66,15,77
J. Berget,29,RM,RM ST,185.42,80.55,Right,0,1700000.0,5000,2200000.0,69,69,62,65,59.0,65,62.0,64,65,67,72,80,64.0,67,66.0,74,46.0,92,73,66,71,59.0,68.0,64.0,71,70.0,61,56,58.0,15,7,15,7,16,1915,411,3,3,High,High,1,76,69,65,66,59,76,7,68,68,68,68,68,68,68,68,67,67,67,69,66,66,66,69,67,65,65,65,67,66,62,62,62,66,18,70
S. Sessegnon  B,20,RB,RB CB RWB,175.26,68.4,Right,17,1100000.0,7000,0.0,59,32,46,64,30.0,56,31.0,28,44,61,76,69,68.0,64,78.0,38,62.0,62,58,29,55,64.0,44.0,38.0,33,46.0,63,65,63.0,15,10,12,9,12,1538,337,4,2,Medium,Medium,1,72,33,51,60,62,59,142,49,49,49,55,52,52,52,55,53,53,53,57,54,54,54,57,63,60,60,60,63,63,61,61,61,63,17,65
D. Takagi,24,CAM,RM LM,170.18,63.45,Right,4,700000.0,3000,928000.0,62,63,39,64,56.0,65,59.0,55,60,65,74,71,78.0,58,79.0,61,73.0,66,51,63,57,35.0,62.0,62.0,60,61.0,36,27,29.0,7,10,9,11,13,1680,353,3,3,High,Medium,1,72,62,62,67,33,57,5,60,60,60,65,63,63,63,65,64,64,64,64,60,60,60,64,52,50,50,50,52,49,42,42,42,49,15,65
D. Sanderson,20,CB,RB CB,187.96,77.4,Right,14,925000.0,10000,2300000.0,56,39,61,54,35.0,56,38.0,32,48,58,68,77,66.0,60,53.0,45,68.0,65,68,38,64,69.0,51.0,48.0,32,50.0,55,67,58.0,7,9,6,10,7,1568,349,3,2,Medium,Medium,1,73,40,50,58,62,66,38,53,53,53,55,54,54,54,55,54,54,54,56,55,55,55,56,62,60,60,60,62,62,63,63,63,62,14,64
E. Bilen,19,GK,GK,185.42,79.2,Right,19,50000.0,1000,131000.0,10,6,10,16,6.0,8,11.0,11,16,13,17,22,34.0,36,39.0,41,51.0,21,61,6,22,9.0,7.0,29.0,17,28.0,6,14,10.0,55,53,55,41,50,803,274,2,1,Medium,Medium,1,55,53,55,50,20,41,3,18,18,18,15,16,16,16,15,16,16,16,15,17,17,17,15,15,18,18,18,15,15,19,19,19,15,49,50
L. Štetina,28,CB,CB,185.42,87.3,Right,1,3000000.0,500,6800000.0,30,21,70,68,27.0,59,25.0,28,68,65,66,67,64.0,67,65.0,82,58.0,66,90,40,79,69.0,32.0,48.0,28,68.0,69,73,73.0,6,12,10,8,15,1648,370,2,2,Medium,High,1,67,38,52,62,71,80,12,55,55,55,52,54,54,54,52,55,55,55,55,60,60,60,55,64,69,69,69,64,65,72,72,72,65,16,72
J. Mäder,22,RM,RM ST CAM,177.8,69.3,Right,6,210000.0,500,347000.0,58,57,40,53,42.0,60,43.0,37,41,61,80,84,74.0,47,77.0,60,65.0,63,57,46,41,24.0,49.0,47.0,52,50.0,38,32,25.0,6,11,6,6,7,1489,336,4,3,Medium,Medium,1,82,54,50,62,32,56,3,56,56,56,59,57,57,57,59,56,56,56,58,49,49,49,58,49,43,43,43,49,46,40,40,40,46,12,59
B. Källman,21,ST,ST,182.88,74.25,Right,10,750000.0,1000,1100000.0,36,63,68,55,50.0,62,44.0,30,45,62,82,80,72.0,53,69.0,60,71.0,70,70,57,55,19.0,61.0,55.0,60,63.0,22,13,16.0,7,9,11,8,5,1540,342,3,2,High,Medium,1,81,60,48,63,23,67,5,63,63,63,61,62,62,62,61,60,60,60,60,53,53,53,60,43,41,41,41,43,41,39,39,39,41,12,64
G. Gibson,19,ST,ST,175.26,70.65,Right,16,200000.0,500,375000.0,34,59,49,51,45.0,54,44.0,36,35,53,69,72,69.0,56,69.0,55,69.0,60,57,48,32,21.0,53.0,50.0,62,52.0,18,11,13.0,14,13,15,12,9,1407,298,3,2,Medium,Medium,1,71,55,44,56,19,53,3,56,56,56,54,55,55,55,54,54,54,54,53,47,47,47,53,39,36,36,36,39,37,32,32,32,37,17,56
N. Maksimović,28,CB,CB,193.04,86.4,Right,1,8500000.0,53000,15100000.0,45,22,79,59,28.0,49,29.0,23,59,61,56,61,49.0,71,58.0,39,64.0,61,86,29,78,80.0,29.0,31.0,26,70.0,79,80,79.0,12,9,5,11,15,1562,345,3,2,Medium,High,2,59,28,47,54,80,77,25,49,49,49,48,47,47,47,48,48,48,48,51,54,54,54,51,66,69,69,69,66,69,77,77,77,69,18,77
P. Kioso,20,RB,RB CB,182.88,69.3,Right,14,250000.0,2000,619000.0,50,25,51,50,25.0,55,29.0,20,29,50,69,69,65.0,48,57.0,28,61.0,63,58,21,64,49.0,46.0,32.0,30,41.0,50,60,60.0,5,13,11,15,10,1368,305,3,2,Medium,Medium,1,69,26,41,54,54,61,4,44,44,44,48,45,45,45,48,45,45,45,50,44,44,44,50,55,50,50,50,55,56,55,55,55,56,15,58
Maikel Mesa,29,ST,CAM CM LM,187.96,78.3,Right,0,525000.0,3000,840000.0,62,61,66,66,59.0,64,63.0,56,63,63,70,71,72.0,65,68.0,70,70.0,72,75,62,65,64.0,66.0,69.0,56,65.0,59,65,64.0,10,8,15,7,7,1873,399,3,3,Medium,Medium,1,71,63,65,65,63,72,5,66,66,66,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,15,65
R. Kobryń,20,RB,RB CB,182.88,76.5,Right,13,450000.0,1000,889000.0,53,30,43,52,24.0,52,32.0,32,31,49,73,71,62.0,55,68.0,29,60.0,73,60,30,56,56.0,48.0,39.0,34,47.0,57,61,61.0,9,10,9,9,6,1434,319,3,2,Medium,Medium,1,72,31,44,53,57,62,4,45,45,45,51,48,48,48,51,48,48,48,52,48,48,48,52,59,54,54,54,59,59,56,56,56,59,14,61
M. Zeitz,29,CDM,CDM CM,180.34,78.3,Right,0,475000.0,2000,689000.0,49,50,62,64,56.0,60,51.0,46,64,61,55,55,54.0,60,65.0,66,60.0,79,67,61,68,61.0,50.0,60.0,56,63.0,60,64,61.0,9,9,15,7,13,1718,362,3,2,Medium,High,1,55,56,59,60,62,70,8,58,58,58,57,58,58,58,57,59,59,59,59,62,62,62,59,61,64,64,64,61,61,63,63,63,61,15,65
P. Smyth,22,RM,ST RW LW,175.26,71.55,Right,9,575000.0,2000,1200000.0,54,63,56,59,56.0,65,52.0,45,46,64,82,85,90.0,58,79.0,61,71.0,72,49,57,49,25.0,63.0,60.0,61,59.0,29,31,26.0,10,10,7,11,12,1658,355,2,2,Medium,Medium,1,84,61,55,68,31,56,8,63,63,63,65,64,64,64,65,63,63,63,64,56,56,56,64,51,46,46,46,51,49,41,41,41,49,16,63
Mackay,33,GK,GK,180.34,79.2,Right,0,350000.0,2000,543000.0,16,20,14,22,13.0,14,19.0,12,23,22,57,59,65.0,65,57.0,45,82.0,25,58,16,29,19.0,13.0,25.0,20,52.0,27,18,15.0,72,61,60,59,70,1192,380,2,1,Medium,Medium,1,72,61,60,70,58,59,5,30,30,30,28,28,28,28,28,27,27,27,27,24,24,24,27,27,26,26,26,27,28,29,29,29,28,65,66
C. Burke,28,ST,ST,190.5,81.45,Right,0,925000.0,4000,1400000.0,22,71,70,55,62.0,64,48.0,41,29,66,77,74,48.0,62,45.0,69,75.0,56,79,58,69,14.0,66.0,37.0,65,60.0,23,20,18.0,10,8,9,11,8,1529,340,3,2,Medium,Medium,1,75,67,40,62,25,71,11,68,68,68,60,63,63,63,60,58,58,58,57,49,49,49,57,41,40,40,40,41,40,42,42,42,40,15,68
B. Rodríguez,31,ST,ST,190.5,90.45,Right,0,800000.0,10000,1400000.0,36,67,77,37,74.0,55,63.0,60,36,65,53,59,59.0,59,40.0,80,54.0,38,92,65,71,25.0,70.0,44.0,72,74.0,11,31,19.0,15,10,9,7,13,1566,324,3,2,Medium,Medium,1,56,70,41,58,27,72,3,67,67,67,56,60,60,60,56,54,54,54,52,48,48,48,52,38,40,40,40,38,38,44,44,44,38,16,68
L. Spence,24,CM,CM CDM,177.8,74.25,Right,7,350000.0,3000,683000.0,44,42,50,68,45.0,61,50.0,48,63,66,64,68,66.0,58,67.0,53,52.0,68,58,43,43,53.0,54.0,57.0,52,59.0,57,54,55.0,8,14,7,7,12,1607,344,3,2,Medium,High,1,66,46,58,63,54,57,5,55,55,55,58,58,58,58,58,60,60,60,60,61,61,61,60,59,59,59,59,59,58,55,55,55,58,15,61
A. Matthews,27,RB,RB,177.8,70.65,Right,0,800000.0,7000,1500000.0,68,43,58,67,43.0,66,73.0,52,67,66,76,73,75.0,66,73.0,69,73.0,67,69,62,66,63.0,63.0,64.0,50,68.0,64,68,65.0,6,15,12,6,14,1862,393,3,3,High,Medium,1,74,53,66,67,65,68,14,61,61,61,65,64,64,64,65,65,65,65,66,65,65,65,66,67,66,66,66,67,67,65,65,65,67,16,68
W. Janssen,33,CB,,185.42,74.25,Right,0,1900000.0,13000,2900000.0,68,60,80,73,61.0,65,52.0,48,73,70,38,39,62.0,70,63.0,74,83.0,72,74,59,80,76.0,60.0,66.0,75,76.0,74,68,71.0,6,9,14,15,10,1908,384,4,2,Medium,Medium,1,39,63,68,66,73,75,3,65,65,65,62,64,64,64,62,65,65,65,64,69,69,69,64,68,72,72,72,68,68,73,73,73,68,17,73
Alexandre Pato,28,CF,ST LW CAM,180.34,80.55,Right,0,15500000.0,30000,33299999.999999996,68,80,69,75,75.0,81,81.0,70,53,80,84,85,83.0,78,69.0,76,78.0,67,72,73,63,29.0,79.0,66.0,74,74.0,35,23,19.0,16,7,13,15,8,1944,412,4,4,High,Low,3,85,77,69,80,32,69,40,78,78,78,78,78,78,78,78,76,76,76,76,67,67,67,76,57,53,53,53,57,53,48,48,48,53,19,80
P. Olayinka,24,RM,LM ST RM,187.96,76.5,Right,4,8500000.0,500,19300000.0,75,69,70,70,64.0,75,73.0,64,65,73,82,80,79.0,72,66.0,71,76.0,88,72,63,73,48.0,71.0,67.0,65,69.0,54,54,47.0,13,9,7,15,11,1981,423,3,3,High,High,1,81,68,70,74,54,76,24,72,72,72,73,72,72,72,73,71,71,71,74,69,69,69,74,67,64,64,64,67,65,61,61,61,65,18,75
Jorge Pombo,26,RM,ST LM CAM,177.8,75.60000000000001,Right,3,1300000.0,14000,3000000.0,66,68,61,69,64.0,72,66.0,69,67,70,69,69,65.0,64,82.0,75,66.0,82,85,70,76,52.0,70.0,71.0,67,74.0,58,58,57.0,12,13,8,8,10,1959,417,3,3,Medium,Medium,1,69,70,68,71,57,82,9,69,69,69,69,69,69,69,69,69,69,69,70,68,68,68,70,65,65,65,65,65,63,63,63,63,63,16,69
B. Cesar,37,CB,CB,190.5,88.2,Left,0,350000.0,500,753000.0,20,14,70,59,28.0,54,24.0,27,54,57,33,32,30.0,66,34.0,47,73.0,34,89,32,69,78.0,20.0,25.0,46,75.0,63,72,69.0,10,9,5,12,12,1367,291,3,2,Low,Medium,2,32,27,40,52,70,70,4,43,43,43,39,42,42,42,39,43,43,43,41,50,50,50,41,54,63,63,63,54,57,70,70,70,57,17,70
M. Albornoz,29,LB,LB LM,180.34,79.2,Left,0,0.0,0,0.0,77,36,59,72,60.0,72,75.0,69,65,73,74,66,73.0,70,76.0,69,66.0,77,68,67,78,63.0,58.0,64.0,66,75.0,71,65,71.0,10,10,9,10,10,1949,404,3,3,Medium,Low,1,70,53,70,73,66,72,12,61,61,61,67,65,65,65,67,67,67,67,68,68,68,68,68,71,69,69,69,71,70,68,68,68,70,17,72
A. Tanaka,32,LW,LW,167.64000000000001,68.4,Right,0,425000.0,500,914000.0,60,56,52,62,50.0,64,54.0,62,60,65,79,80,87.0,61,79.0,68,70.0,70,56,60,59,52.0,67.0,63.0,46,65.0,55,58,54.0,13,12,13,9,15,1811,383,3,3,Medium,Low,1,80,59,61,67,55,61,5,63,63,63,65,64,64,64,65,65,65,65,65,62,62,62,65,62,59,59,59,62,61,57,57,57,61,18,65
Tramontinaldo,24,RB,RB RM,175.26,70.65,Right,0,3800000.0,10000,7200000.0,76,45,69,74,55.0,61,61.0,62,71,72,63,68,75.0,71,76.0,53,62.0,64,59,51,54,59.0,51.0,61.0,63,64.0,74,77,75.0,14,8,7,8,7,1846,384,3,2,Medium,Medium,1,66,50,70,67,72,59,4,59,59,59,64,61,61,61,64,64,64,64,66,66,66,66,66,70,69,69,69,70,71,69,69,69,71,16,73
Alex Telles,27,LB,LB,180.34,70.65,Left,1,31000000.0,23000,64300000.0,89,65,67,83,67.0,82,87.0,79,87,82,84,85,73.0,83,70.0,87,80.0,91,68,83,78,80.0,75.0,76.0,81,78.0,80,81,79.0,13,8,12,11,14,2280,478,2,3,High,High,3,85,74,83,81,79,76,509,76,76,76,80,79,79,79,80,80,80,80,82,82,82,82,82,83,82,82,82,83,82,78,78,78,82,19,84
Y. Uchida,25,LWB,LB LM,170.18,61.65,Left,3,600000.0,1000,795000.0,65,58,42,63,43.0,65,57.0,56,61,64,73,69,78.0,57,79.0,65,72.0,66,46,60,68,65.0,57.0,52.0,54,53.0,63,61,63.0,14,11,8,7,12,1774,374,3,2,High,Medium,1,71,59,60,66,61,57,3,59,59,59,63,61,61,61,63,61,61,61,63,61,61,61,63,64,62,62,62,64,63,60,60,60,63,16,65
Jiang Shenglong,19,CM,CM CB,193.04,79.2,Right,12,90000.0,1000,158000.0,51,38,58,56,33.0,45,32.0,32,58,50,67,74,62.0,53,72.0,46,60.0,64,69,46,59,56.0,45.0,45.0,31,47.0,58,55,57.0,15,9,9,9,9,1523,335,3,2,Medium,Medium,1,71,41,51,50,57,65,4,50,50,50,51,50,50,50,51,50,50,50,52,52,52,52,52,57,56,56,56,57,58,58,58,58,58,15,52
F. Dymerski,18,CB,CB,185.42,79.2,Right,19,110000.0,500,217000.0,26,26,50,35,23.0,26,25.0,22,29,33,63,55,38.0,48,54.0,37,68.0,63,65,17,48,53.0,28.0,31.0,34,39.0,51,56,59.0,9,6,5,12,5,1200,263,3,2,Medium,Medium,1,59,27,30,32,54,61,6,37,37,37,34,34,34,34,34,33,33,33,36,36,36,36,36,47,46,46,46,47,50,53,53,53,50,12,53
G. Biancone,20,RB,RB,187.96,78.3,Right,12,1500000.0,11000,3200000.0,72,28,57,62,35.0,69,66.0,38,53,69,68,75,55.0,60,57.0,69,60.0,77,77,66,69,55.0,62.0,49.0,47,66.0,56,69,69.0,8,14,11,8,9,1739,381,4,3,High,Medium,1,72,47,59,67,61,75,49,58,58,58,62,60,60,60,62,60,60,60,63,61,61,61,63,66,63,63,63,66,66,64,64,64,66,15,68
Raúl García,19,ST,ST,190.5,68.4,Right,16,975000.0,3000,2700000.0,32,66,64,55,54.0,66,40.0,39,41,64,69,68,55.0,51,52.0,67,58.0,46,67,56,54,15.0,67.0,50.0,50,54.0,19,17,28.0,12,15,13,6,6,1462,322,3,4,High,Low,1,68,63,46,63,23,59,50,64,64,64,59,62,62,62,59,59,59,59,57,51,51,51,57,40,39,39,39,40,39,38,38,38,39,14,64
Luisão,37,CB,CB,195.57999999999998,90.45,Right,0,600000.0,9000,2400000.0,50,45,82,65,51.0,50,36.0,48,58,58,29,29,33.0,67,31.0,68,48.0,37,93,45,75,75.0,30.0,48.0,66,81.0,84,80,76.0,14,14,7,10,12,1614,338,2,2,Low,Medium,3,29,50,55,51,80,73,6,55,55,55,48,50,50,50,48,50,50,50,49,56,56,56,49,61,68,68,68,61,63,76,76,76,63,18,77
